4.,2.,1.5,2.766781752348042
4.,2.,2.5,2.766737844295058
4.,3.,2.5,3.988345429978118
4.,3.,3.5,3.9883384924170673
5.,2.,1.5,3.705912646561221
5.,2.,2.5,3.7066001945152567
5.,3.,2.5,4.98663696065656
5.,3.,3.5,4.98662622585881
5.,4.,3.5,4.997072243183376
5.,4.,4.5,4.997077360101575
6.,0.,0.5,2.8449425259297896
6.,1.,0.5,3.3166824209218913
6.,1.,1.5,3.329641752264002
6.,2.,1.5,4.6830755497777075
6.,2.,2.5,4.684134442063206
6.,3.,2.5,5.985695726437289
6.,3.,3.5,5.9856800920594475
7.,0.,0.5,3.8562581123583386
7.,1.,0.5,4.328949618147677
7.,1.,1.5,4.341978856255826
7.,2.,1.5,5.672240167948579
7.,2.,2.5,5.673493711554434
7.,3.,2.5,6.985120903888867
7.,3.,3.5,6.9851022693047815
8.,0.,0.5,4.861051849133006
8.,1.,0.5,5.334760716446451
8.,1.,1.5,5.347848633018423
8.,2.,1.5,6.666275278148766
8.,2.,2.5,6.66764304235295
8.,3.,2.5,7.984767548504991
8.,3.,3.5,7.9847559507400225
9.,0.,0.5,5.863538762288955
9.,1.,0.5,6.337878031080664
9.,1.,1.5,6.351003251295565
9.,2.,1.5,7.6626162414288235
9.,2.,2.5,7.664041375064901
10.,0.,0.5,6.864994549698319
10.,1.,0.5,7.33981628706573
10.,1.,1.5,7.353022010519559
10.,2.,1.5,8.660138680938175
10.,2.,2.5,8.661612802073096
11.,0.,0.5,7.865929373407415
11.,1.,0.5,8.34113179371183
11.,1.,1.5,8.354304578557157
12.,0.,0.5,8.86644936400002
12.,1.,0.5,9.342339706110552
12.,1.,1.5,9.355519448105055
13.,1.,0.5,10.343081862427903
13.,1.,1.5,10.35621499121494
14.,1.,0.5,11.343740570897811
14.,1.,1.5,11.35706602409649
15.,1.,0.5,12.344290580585424
15.,1.,1.5,12.357424699562783
16.,1.,0.5,13.344737382332353
16.,1.,1.5,13.358184408259797
17.,1.,0.5,14.345136383311289
17.,1.,1.5,14.358605644959422
18.,1.,0.5,15.34599225890473
18.,1.,1.5,15.35984291283814
19.,1.,0.5,16.34659173621632
19.,1.,1.5,16.36014203018154
